Last 2 Characters,Count,Time Used to Type Last 2 Characters (ms)
fl,27,151.6885
un,170,151.87535000000003
 l,185,152.0378
b.,1,152.205
hl,5,152.2803
de,150,152.3317
om,174,152.48469999999998
wh,213,152.6866
 g,119,152.8698
n',26,152.97265
ny,60,152.98829999999998
"m,",71,153.1786
dy,9,153.5247
em,196,153.8908
ov,52,153.96314999999998
bs,5,156.1135
dr,45,156.565
 E,19,156.631
"r,",73,156.7482
p;,2,156.8037
ah,22,156.9413
d;,14,156.9734
l.,12,157.14065
 t,1961,157.3973
ne,275,157.5697
r',29,157.9414
nk,13,158.1109
ja,2,158.27095
 f,459,158.6075
fo,292,158.7181
 Q,1,159.036
br,71,159.1276
 p,286,159.23955
pe,106,159.26010000000002
ze,9,159.3732
oc,22,159.43375
ni,78,159.4792
ca,77,159.5182
iz,9,159.5655
gh,104,159.60335
do,93,159.6871
s.,84,159.75985
r.,31,159.8052
ob,3,159.812
"n,",69,159.8781
ev,126,160.02615
nl,7,160.4511
pr,147,160.5267
um,16,160.72575
sa,127,160.8339
 G,61,161.0245
li,109,161.0968
ty,39,161.1039
to,466,161.1587
 s,1058,161.19315
ga,36,161.4059
"p,",10,161.59085
xa,4,161.7091
nx,1,162.0376
fe,172,163.0436
rg,32,163.30685
rh,2,163.33325
ab,58,163.692
"l,",55,163.7032
vi,33,164.8242
t;,8,164.94305
mo,93,165.2759
ra,126,165.3184
a.,2,165.86395
od,135,166.4514
tu,66,166.7087
 d,319,166.7687
xt,5,166.9114
az,8,167.10590000000002
ma,206,167.1898
 c,298,167.2349
 h,786,167.44080000000002
fi,112,167.54025000000001
fa,62,167.6705
b ,11,168.1474
ya,4,168.2173
ks,4,168.34044999999998
go,55,168.3508
gd,2,168.3552
s;,15,168.6957
"w,",9,168.7886
ru,40,170.20315
 n,243,170.3551
 b,572,170.52435
p ,50,170.56285
gi,32,171.84915
na,89,172.1161
ib,5,172.2795
ui,25,172.5239
 j,14,172.88234999999997
be,300,173.22809999999998
bb,22,173.30470000000003
yi,41,173.3184
"c,",1,173.7905
di,89,173.8347
my,35,174.1853
"u,",17,174.2084
; ,72,174.22334999999998
hi,503,174.2237
ax,3,174.2339
 I,159,174.4626
h?,1,174.5474
d?,1,174.645
oo,100,174.987
 C,15,175.0062
ik,4,175.10665
si,86,175.2856
co,132,175.40429999999998
 r,111,175.7722
no,176,175.95229999999998
 J,39,176.4736
rf,2,177.08995
"o,",2,177.3034
"b,",5,177.8231
sb,3,178.5654
mi,49,179.1916
ud,18,179.67335
lm,5,179.8777
ep,73,180.1868
sg,3,180.348
ek,1,181.8371
x ,7,181.8483
"i,",12,182.04285
gg,2,182.0432
y',1,182.0685
n;,6,182.69080000000002
ex,11,183.3691
ff,153,183.5818
rl,8,183.65585
 ',21,183.8805
 m,298,184.83974999999998
uy,3,185.0222
fy,4,185.11535
bu,51,185.3743
so,170,185.5271
lc,2,185.7794
nc,133,186.2332
tt,21,186.6445
ph,25,186.8495
 w,625,187.0195
 (,2,187.6822
bo,58,187.7512
 A,35,187.8497
xh,1,188.0409
uk,2,188.46724999999998
sd,2,188.54485
? ,6,188.8474
gn,23,188.932
 Z,3,189.0443
mu,17,189.1077
wa,131,189.1344
du,7,189.2591
 D,9,189.6254
rt,44,189.64600000000002
fu,10,190.2504
cu,31,190.3552
rs,100,190.4315
ee,103,190.7123
we,78,190.7201
rn,73,190.833
rc,17,191.4957
I ,78,191.76665000000003
ba,59,191.7864
ix,5,192.1321
by,45,192.1659
su,35,192.1755
wo,84,192.2765
dg,7,192.6468
df,1,192.9613
e',4,193.04015
ci,18,194.6846
dd,16,195.47115
qu,12,195.8839
Af,2,196.22905
lt,26,196.4774
bi,25,196.974
cy,7,197.9187
Bo,3,198.0723
ll,652,198.1659
 H,41,199.4814
nj,6,199.56005
yr,2,199.70675
nu,7,199.7541
va,11,199.8945
wi,177,200.1564
vo,28,200.2951
ss,103,200.3893
ky,4,200.4262
rb,4,200.72750000000002
pu,47,200.813
s?,2,200.8616
 v,34,200.98955
dm,2,201.3198
rr,14,201.4534
jo,3,201.798
ip,12,202.1444
 L,163,202.1998
sy,10,202.28255000000001
 M,66,202.55365
sc,34,202.58765
 F,6,202.625
 R,3,202.856
n?,1,204.3616
nr,4,204.65205
nh,4,205.01035000000002
gf,1,205.178
y?,1,205.227
pp,20,205.3142
ft,32,205.6538
Jo,16,205.8212
 T,65,206.0223
sn,7,206.1804
rm,14,206.64985000000001
je,2,206.80010000000001
n-,3,207.169
eq,1,208.0352
 S,60,208.17855
u;,3,208.4326
u:,1,208.4503
y;,8,208.6004
mb,22,208.76569999999998
mm,18,209.17669999999998
He,34,211.06035
e.,64,211.26595
 N,14,212.28625
cc,24,212.30180000000001
y-,3,212.703
 B,7,213.3473
l',1,213.4607
Me,20,213.474
Er,1,213.5546
nq,1,214.2868
El,5,214.9049
ub,9,214.9414
d),2,215.54045000000002
-a,1,215.9035
m:,1,216.0474
 O,6,216.22395
nf,1,216.5069
Es,1,217.2041
f!,1,217.4094
rw,5,217.5111
Ad,2,217.6698
LO,136,218.08505
" """,43,218.2276
e;,8,218.28745
 Y,28,218.44060000000002
tb,1,219.5348
Is,50,219.63805000000002
Go,54,220.1998
Ch,4,220.8614
ls,36,221.75655
"z,",2,222.39730000000003
Ac,1,223.0977
s-,2,223.19825
-n,1,224.7468
Ho,10,224.7903
Mo,32,224.82835
e:,4,225.08620000000002
ij,2,225.89895
nn,23,226.3212
sp,63,226.9328
tr,58,227.00850000000003
ct,46,227.6841
lv,19,228.1331
Ly,1,228.6339
pi,23,229.0438
rp,2,229.3219
g:,3,230.0096
m!,1,230.2368
-b,8,230.4459
ki,41,230.4606
Ja,2,230.73340000000002
Be,6,230.7832
aa,5,231.1099
yp,5,231.2793
) ,1,231.3553
zr,1,231.7622
o?,3,231.9411
up,30,231.97045
Pi,1,232.3318
Fo,6,232.6487
".""",27,232.7963
xc,3,233.1992
-i,3,233.274
iu,5,233.4811
tl,5,233.7361
dn,40,233.91345
Se,4,234.2382
rv,17,234.6869
Di,2,234.90665
Te,21,235.689
En,2,237.26655
Re,2,238.31040000000002
d!,2,238.64235000000002
k:,1,238.8062
"a,",4,239.03789999999998
 P,11,239.1981
fs,9,239.7328
k;,3,239.8071
Ar,2,239.99745000000001
bh,1,242.0485
gt,2,242.3637
Ga,5,242.5956
Lo,13,242.7694
Pl,4,243.74034999999998
.',20,244.27949999999998
xp,1,244.5925
gy,5,244.7498
xi,1,245.0397
Le,3,245.2573
sr,44,245.6452
Ha,1,246.2273
Sy,2,246.4851
n!,1,246.5579
Fr,1,246.5644
Ne,1,246.7542
Eb,1,247.3054
Im,1,247.7109
tc,3,247.8085
sm,3,249.1292
Hi,2,249.31365
Au,1,249.8655
sw,14,250.73355
ju,17,250.9597
cq,1,251.2891
"D,",24,251.35985
Je,10,251.95024999999998
Ca,8,252.89085
e?,3,254.4703
nv,11,255.7287
r-,4,255.84755
Si,7,256.9752
Co,3,257.1959
(a,1,257.8201
iq,7,258.2812
-h,1,258.892
wr,14,259.98805
In,6,260.2844
sl,6,260.58835
Ze,1,261.7175
It,21,261.7733
Za,2,262.028
hb,9,262.9473
La,1,263.0441
Al,2,263.2407
Th,65,263.6574
Qu,1,264.5382
Ab,4,265.4672
r:,3,265.6385
t:,2,266.68395
Ma,15,267.0758
Da,4,268.0525
: ,15,271.4382
Ti,1,271.5764
wl,1,271.868
Po,1,272.4604
tw,28,272.73445
ej,1,274.3645
Aa,16,275.0594
Ju,7,275.5914
--,4,275.6844
So,7,275.9233
s!,1,276.4712
 W,7,277.0137
Sa,25,281.0947
Sh,10,282.50435
Pe,2,282.74415
gm,2,283.5404
s:,2,283.70574999999997
a;,1,285.1346
'P,1,285.35
""" ",4,285.5168
s),1,287.0673
Eg,6,287.26925
Ev,7,289.1302
To,1,289.1458
eb,2,290.52705000000003
tm,1,291.1982
'M,2,296.5762
dw,11,298.0286
Ph,3,301.3618
(s,1,303.1413
t!,1,303.8584
h!,1,304.0703
Gl,1,306.7377
! ,3,306.909
No,7,309.8673
Rh,1,317.9947
Ob,1,319.3393
"),",3,319.7765
;',1,319.8502
D',5,322.2335
On,10,324.00955
-l,3,324.7202
l;,2,325.77695
-f,1,326.568
d:,1,327.6551
We,1,329.7476
aj,1,331.6543
Am,2,332.25694999999996
Yo,70,333.18475
Na,11,333.2117
"d""",1,334.3336
"""C",1,334.722
Fa,1,334.8547
Sp,18,336.4955
Wh,27,338.9674
Ex,1,344.0122
Ah,1,346.2051
"?""",5,348.4086
"""I",8,350.61890000000005
"""T",4,351.898
An,5,352.1048
A ,4,354.51509999999996
"""B",2,359.40705
If,23,359.7377
"""W",3,361.3488
"!""",3,362.729
Do,8,364.1944
Bu,1,374.824
"""A",2,374.9214
Tr,1,377.865
"""D",1,380.2293
"I,",3,383.9464
At,1,387.7625
"""M",1,390.5066
"""E",2,391.48839999999996
"""S",2,396.7686
"""L",1,408.7895
"""Y",4,409.19375
"""N",1,415.0313
mc,1,416.4933
"""H",1,417.0433
'H,4,425.921
"'""",18,428.82085
'W,14,434.00915
'A,4,435.8954
'N,3,437.5436
"""'",7,448.6811
'T,14,460.14520000000005
'B,1,462.8732
Sc,1,463.2679
Ea,1,474.4224
'O,2,480.64815
'F,2,487.59515
'E,4,507.10535000000004
'I,19,511.7839
""")",1,526.7298
'Y,38,562.23985
'S,3,625.6192
'D,4,759.70225
